name,annotations,codepoints
grinning face,"face, grin",[128512]
grinning face with smiling eyes,"eye, face, grin, smile",[128513]
face with tears of joy,"face, joy, laugh, tear",[128514]
rolling on the floor laughing,"face, floor, laugh, rolling",[129315]
smiling face with open mouth,"face, mouth, open, smile",[128515]
smiling face with open mouth & smiling eyes,"eye, face, mouth, open, smile",[128516]
smiling face with open mouth & cold sweat,"cold, face, open, smile, sweat",[128517]
smiling face with open mouth & closed eyes,"face, laugh, mouth, open, satisfied, smile",[128518]
winking face,"face, wink",[128521]
smiling face with smiling eyes,"blush, eye, face, smile",[128522]
face savouring delicious food,"delicious, face, savouring, smile, um, yum",[128523]
smiling face with sunglasses,"bright, cool, eye, eyewear, face, glasses, smile, sun, sunglasses",[128526]
smiling face with heart-eyes,"eye, face, love, smile",[128525]
face blowing a kiss,"face, kiss",[128536]
kissing face,"face, kiss",[128535]
kissing face with smiling eyes,"eye, face, kiss, smile",[128537]
kissing face with closed eyes,"closed, eye, face, kiss",[128538]
smiling face,"face, outlined, relaxed, smile",[9786]
slightly smiling face,"face, smile",[128578]
hugging face,"face, hug, hugging",[129303]
thinking face,"face, thinking",[129300]
neutral face,"deadpan, face, neutral",[128528]
expressionless face,"expressionless, face, inexpressive, unexpressive",[128529]
face without mouth,"face, mouth, quiet, silent",[128566]
face with rolling eyes,"eyes, face, rolling",[128580]
smirking face,"face, smirk",[128527]
persevering face,"face, persevere",[128547]
disappointed but relieved face,"disappointed, face, relieved, whew",[128549]
face with open mouth,"face, mouth, open, sympathy",[128558]
zipper-mouth face,"face, mouth, zipper",[129296]
hushed face,"face, hushed, stunned, surprised",[128559]
sleepy face,"face, sleep",[128554]
tired face,"face, tired",[128555]
sleeping face,"face, sleep, zzz",[128564]
relieved face,"face, relieved",[128524]
nerd face,"face, geek, nerd",[129299]
face with stuck-out tongue,"face, tongue",[128539]
face with stuck-out tongue & winking eye,"eye, face, joke, tongue, wink",[128540]
face with stuck-out tongue & closed eyes,"eye, face, horrible, taste, tongue",[128541]
drooling face,"drooling, face",[129316]
unamused face,"face, unamused, unhappy",[128530]
face with cold sweat,"cold, face, sweat",[128531]
pensive face,"dejected, face, pensive",[128532]
confused face,"confused, face",[128533]
upside-down face,"face, upside-down",[128579]
money-mouth face,"face, money, mouth",[129297]
astonished face,"astonished, face, shocked, totally",[128562]
frowning face,"face, frown",[9785]
slightly frowning face,"face, frown",[128577]
confounded face,"confounded, face",[128534]
disappointed face,"disappointed, face",[128542]
worried face,"face, worried",[128543]
face with steam from nose,"face, triumph, won",[128548]
crying face,"cry, face, sad, tear",[128546]
loudly crying face,"cry, face, sad, sob, tear",[128557]
frowning face with open mouth,"face, frown, mouth, open",[128550]
anguished face,"anguished, face",[128551]
fearful face,"face, fear, fearful, scared",[128552]
weary face,"face, tired, weary",[128553]
grimacing face,"face, grimace",[128556]
face with open mouth & cold sweat,"blue, cold, face, mouth, open, rushed, sweat",[128560]
face screaming in fear,"face, fear, fearful, munch, scared, scream",[128561]
flushed face,"dazed, face, flushed",[128563]
dizzy face,"dizzy, face",[128565]
pouting face,"angry, face, mad, pouting, rage, red",[128545]
angry face,"angry, face, mad",[128544]
smiling face with halo,"angel, face, fairy tale, fantasy, halo, innocent, smile",[128519]
cowboy hat face,"cowboy, cowgirl, face, hat",[129312]
clown face,"clown, face",[129313]
lying face,"face, lie, pinocchio",[129317]
face with medical mask,"cold, doctor, face, mask, medicine, sick",[128567]
face with thermometer,"face, ill, sick, thermometer",[129298]
face with head-bandage,"bandage, face, hurt, injury",[129301]
nauseated face,"face, nauseated, vomit",[129314]
sneezing face,"face, gesundheit, sneeze",[129319]
smiling face with horns,"face, fairy tale, fantasy, horns, smile",[128520]
angry face with horns,"demon, devil, face, fairy tale, fantasy, imp",[128127]
ogre,"creature, face, fairy tale, fantasy, japanese, monster",[128121]
goblin,"creature, face, fairy tale, fantasy, japanese, monster",[128122]
skull,"death, face, fairy tale, monster",[128128]
skull and crossbones,"crossbones, death, face, monster, skull",[9760]
ghost,"creature, face, fairy tale, fantasy, monster",[128123]
alien,"creature, extraterrestrial, face, fairy tale, fantasy, monster, ufo",[128125]
alien monster,"alien, creature, extraterrestrial, face, fairy tale, fantasy, monster, ufo",[128126]
robot face,"face, monster, robot",[129302]
pile of poo,"comic, dung, face, monster, poo, poop",[128169]
smiling cat face with open mouth,"cat, face, mouth, open, smile",[128570]
grinning cat face with smiling eyes,"cat, eye, face, grin, smile",[128568]
cat face with tears of joy,"cat, face, joy, tear",[128569]
smiling cat face with heart-eyes,"cat, eye, face, love, smile",[128571]
cat face with wry smile,"cat, face, ironic, smile, wry",[128572]
kissing cat face with closed eyes,"cat, eye, face, kiss",[128573]
weary cat face,"cat, face, oh, surprised, weary",[128576]
crying cat face,"cat, cry, face, sad, tear",[128575]
pouting cat face,"cat, face, pouting",[128574]
see-no-evil monkey,"evil, face, forbidden, gesture, monkey, no, not, prohibited, see",[128584]
hear-no-evil monkey,"evil, face, forbidden, gesture, hear, monkey, no, not, prohibited",[128585]
speak-no-evil monkey,"evil, face, forbidden, gesture, monkey, no, not, prohibited, speak",[128586]
boy,"boy, young",[128102]
boy: light skin tone,"boy, light skin tone, young","[128102, 127995]"
boy: medium-light skin tone,"boy, medium-light skin tone, young","[128102, 127996]"
boy: medium skin tone,"boy, medium skin tone, young","[128102, 127997]"
boy: medium-dark skin tone,"boy, medium-dark skin tone, young","[128102, 127998]"
boy: dark skin tone,"boy, dark skin tone, young","[128102, 127999]"
girl,"virgo, young, zodiac",[128103]
girl: light skin tone,"light skin tone, virgo, young, zodiac","[128103, 127995]"
girl: medium-light skin tone,"medium-light skin tone, virgo, young, zodiac","[128103, 127996]"
girl: medium skin tone,"medium skin tone, virgo, young, zodiac","[128103, 127997]"
girl: medium-dark skin tone,"medium-dark skin tone, virgo, young, zodiac","[128103, 127998]"
girl: dark skin tone,"dark skin tone, virgo, young, zodiac","[128103, 127999]"
man,man,[128104]
man: light skin tone,"light skin tone, man","[128104, 127995]"
man: medium-light skin tone,"man, medium-light skin tone","[128104, 127996]"
man: medium skin tone,"man, medium skin tone","[128104, 127997]"
man: medium-dark skin tone,"man, medium-dark skin tone","[128104, 127998]"
man: dark skin tone,"dark skin tone, man","[128104, 127999]"
woman,woman,[128105]
woman: light skin tone,"light skin tone, woman","[128105, 127995]"
woman: medium-light skin tone,"medium-light skin tone, woman","[128105, 127996]"
woman: medium skin tone,"medium skin tone, woman","[128105, 127997]"
woman: medium-dark skin tone,"medium-dark skin tone, woman","[128105, 127998]"
woman: dark skin tone,"dark skin tone, woman","[128105, 127999]"
old man,"man, old",[128116]
old man: light skin tone,"light skin tone, man, old","[128116, 127995]"
old man: medium-light skin tone,"man, medium-light skin tone, old","[128116, 127996]"
old man: medium skin tone,"man, medium skin tone, old","[128116, 127997]"
old man: medium-dark skin tone,"man, medium-dark skin tone, old","[128116, 127998]"
old man: dark skin tone,"dark skin tone, man, old","[128116, 127999]"
old woman,"old, woman",[128117]
old woman: light skin tone,"light skin tone, old, woman","[128117, 127995]"
old woman: medium-light skin tone,"medium-light skin tone, old, woman","[128117, 127996]"
old woman: medium skin tone,"medium skin tone, old, woman","[128117, 127997]"
old woman: medium-dark skin tone,"medium-dark skin tone, old, woman","[128117, 127998]"
old woman: dark skin tone,"dark skin tone, old, woman","[128117, 127999]"
baby,"baby, young",[128118]
baby: light skin tone,"baby, light skin tone, young","[128118, 127995]"
baby: medium-light skin tone,"baby, medium-light skin tone, young","[128118, 127996]"
baby: medium skin tone,"baby, medium skin tone, young","[128118, 127997]"
baby: medium-dark skin tone,"baby, medium-dark skin tone, young","[128118, 127998]"
baby: dark skin tone,"baby, dark skin tone, young","[128118, 127999]"
baby angel,"angel, baby, face, fairy tale, fantasy",[128124]
baby angel: light skin tone,"angel, baby, face, fairy tale, fantasy, light skin tone","[128124, 127995]"
baby angel: medium-light skin tone,"angel, baby, face, fairy tale, fantasy, medium-light skin tone","[128124, 127996]"
baby angel: medium skin tone,"angel, baby, face, fairy tale, fantasy, medium skin tone","[128124, 127997]"
baby angel: medium-dark skin tone,"angel, baby, face, fairy tale, fantasy, medium-dark skin tone","[128124, 127998]"
baby angel: dark skin tone,"angel, baby, dark skin tone, face, fairy tale, fantasy","[128124, 127999]"
man health worker,"doctor, healthcare, man, nurse, therapist","[128104, 8205, 9877, 65039]"
man health worker: light skin tone,"doctor, healthcare, light skin tone, man, nurse, therapist","[128104, 127995, 8205, 9877, 65039]"
man health worker: medium-light skin tone,"doctor, healthcare, man, medium-light skin tone, nurse, therapist","[128104, 127996, 8205, 9877, 65039]"
man health worker: medium skin tone,"doctor, healthcare, man, medium skin tone, nurse, therapist","[128104, 127997, 8205, 9877, 65039]"
man health worker: medium-dark skin tone,"doctor, healthcare, man, medium-dark skin tone, nurse, therapist","[128104, 127998, 8205, 9877, 65039]"
man health worker: dark skin tone,"dark skin tone, doctor, healthcare, man, nurse, therapist","[128104, 127999, 8205, 9877, 65039]"
woman health worker,"doctor, healthcare, nurse, therapist, woman","[128105, 8205, 9877, 65039]"
woman health worker: light skin tone,"doctor, healthcare, light skin tone, nurse, therapist, woman","[128105, 127995, 8205, 9877, 65039]"
woman health worker: medium-light skin tone,"doctor, healthcare, medium-light skin tone, nurse, therapist, woman","[128105, 127996, 8205, 9877, 65039]"
woman health worker: medium skin tone,"doctor, healthcare, medium skin tone, nurse, therapist, woman","[128105, 127997, 8205, 9877, 65039]"
woman health worker: medium-dark skin tone,"doctor, healthcare, medium-dark skin tone, nurse, therapist, woman","[128105, 127998, 8205, 9877, 65039]"
woman health worker: dark skin tone,"dark skin tone, doctor, healthcare, nurse, therapist, woman","[128105, 127999, 8205, 9877, 65039]"
man student,"graduate, man, student","[128104, 8205, 127891]"
man student: light skin tone,"graduate, light skin tone, man, student","[128104, 127995, 8205, 127891]"
man student: medium-light skin tone,"graduate, man, medium-light skin tone, student","[128104, 127996, 8205, 127891]"
man student: medium skin tone,"graduate, man, medium skin tone, student","[128104, 127997, 8205, 127891]"
man student: medium-dark skin tone,"graduate, man, medium-dark skin tone, student","[128104, 127998, 8205, 127891]"
man student: dark skin tone,"dark skin tone, graduate, man, student","[128104, 127999, 8205, 127891]"
woman student,"graduate, student, woman","[128105, 8205, 127891]"
woman student: light skin tone,"graduate, light skin tone, student, woman","[128105, 127995, 8205, 127891]"
woman student: medium-light skin tone,"graduate, medium-light skin tone, student, woman","[128105, 127996, 8205, 127891]"
woman student: medium skin tone,"graduate, medium skin tone, student, woman","[128105, 127997, 8205, 127891]"
woman student: medium-dark skin tone,"graduate, medium-dark skin tone, student, woman","[128105, 127998, 8205, 127891]"
woman student: dark skin tone,"dark skin tone, graduate, student, woman","[128105, 127999, 8205, 127891]"
man teacher,"instructor, man, professor, teacher","[128104, 8205, 127979]"
man teacher: light skin tone,"instructor, light skin tone, man, professor, teacher","[128104, 127995, 8205, 127979]"
man teacher: medium-light skin tone,"instructor, man, medium-light skin tone, professor, teacher","[128104, 127996, 8205, 127979]"
man teacher: medium skin tone,"instructor, man, medium skin tone, professor, teacher","[128104, 127997, 8205, 127979]"
man teacher: medium-dark skin tone,"instructor, man, medium-dark skin tone, professor, teacher","[128104, 127998, 8205, 127979]"
man teacher: dark skin tone,"dark skin tone, instructor, man, professor, teacher","[128104, 127999, 8205, 127979]"
woman teacher,"instructor, professor, teacher, woman","[128105, 8205, 127979]"
woman teacher: light skin tone,"instructor, light skin tone, professor, teacher, woman","[128105, 127995, 8205, 127979]"
woman teacher: medium-light skin tone,"instructor, medium-light skin tone, professor, teacher, woman","[128105, 127996, 8205, 127979]"
woman teacher: medium skin tone,"instructor, medium skin tone, professor, teacher, woman","[128105, 127997, 8205, 127979]"
woman teacher: medium-dark skin tone,"instructor, medium-dark skin tone, professor, teacher, woman","[128105, 127998, 8205, 127979]"
woman teacher: dark skin tone,"dark skin tone, instructor, professor, teacher, woman","[128105, 127999, 8205, 127979]"
man judge,"justice, man, scales","[128104, 8205, 9878]"
man judge: light skin tone,"justice, light skin tone, man, scales","[128104, 127995, 8205, 9878]"
man judge: medium-light skin tone,"justice, man, medium-light skin tone, scales","[128104, 127996, 8205, 9878]"
man judge: medium skin tone,"justice, man, medium skin tone, scales","[128104, 127997, 8205, 9878]"
man judge: medium-dark skin tone,"justice, man, medium-dark skin tone, scales","[128104, 127998, 8205, 9878]"
man judge: dark skin tone,"dark skin tone, justice, man, scales","[128104, 127999, 8205, 9878]"
woman judge,"judge, scales, woman","[128105, 8205, 9878]"
woman judge: light skin tone,"judge, light skin tone, scales, woman","[128105, 127995, 8205, 9878]"
woman judge: medium-light skin tone,"judge, medium-light skin tone, scales, woman","[128105, 127996, 8205, 9878]"
woman judge: medium skin tone,"judge, medium skin tone, scales, woman","[128105, 127997, 8205, 9878]"
woman judge: medium-dark skin tone,"judge, medium-dark skin tone, scales, woman","[128105, 127998, 8205, 9878]"
woman judge: dark skin tone,"dark skin tone, judge, scales, woman","[128105, 127999, 8205, 9878]"
man farmer,"farmer, gardener, man, rancher","[128104, 8205, 127806]"
man farmer: light skin tone,"farmer, gardener, light skin tone, man, rancher","[128104, 127995, 8205, 127806]"
man farmer: medium-light skin tone,"farmer, gardener, man, medium-light skin tone, rancher","[128104, 127996, 8205, 127806]"
man farmer: medium skin tone,"farmer, gardener, man, medium skin tone, rancher","[128104, 127997, 8205, 127806]"
man farmer: medium-dark skin tone,"farmer, gardener, man, medium-dark skin tone, rancher","[128104, 127998, 8205, 127806]"
man farmer: dark skin tone,"dark skin tone, farmer, gardener, man, rancher","[128104, 127999, 8205, 127806]"
woman farmer,"farmer, gardener, rancher, woman","[128105, 8205, 127806]"
woman farmer: light skin tone,"farmer, gardener, light skin tone, rancher, woman","[128105, 127995, 8205, 127806]"
woman farmer: medium-light skin tone,"farmer, gardener, medium-light skin tone, rancher, woman","[128105, 127996, 8205, 127806]"
woman farmer: medium skin tone,"farmer, gardener, medium skin tone, rancher, woman","[128105, 127997, 8205, 127806]"
woman farmer: medium-dark skin tone,"farmer, gardener, medium-dark skin tone, rancher, woman","[128105, 127998, 8205, 127806]"
woman farmer: dark skin tone,"dark skin tone, farmer, gardener, rancher, woman","[128105, 127999, 8205, 127806]"
man cook,"chef, cook, man","[128104, 8205, 127859]"
man cook: light skin tone,"chef, cook, light skin tone, man","[128104, 127995, 8205, 127859]"
man cook: medium-light skin tone,"chef, cook, man, medium-light skin tone","[128104, 127996, 8205, 127859]"
man cook: medium skin tone,"chef, cook, man, medium skin tone","[128104, 127997, 8205, 127859]"
man cook: medium-dark skin tone,"chef, cook, man, medium-dark skin tone","[128104, 127998, 8205, 127859]"
man cook: dark skin tone,"chef, cook, dark skin tone, man","[128104, 127999, 8205, 127859]"
woman cook,"chef, cook, woman","[128105, 8205, 127859]"
woman cook: light skin tone,"chef, cook, light skin tone, woman","[128105, 127995, 8205, 127859]"
woman cook: medium-light skin tone,"chef, cook, medium-light skin tone, woman","[128105, 127996, 8205, 127859]"
woman cook: medium skin tone,"chef, cook, medium skin tone, woman","[128105, 127997, 8205, 127859]"
woman cook: medium-dark skin tone,"chef, cook, medium-dark skin tone, woman","[128105, 127998, 8205, 127859]"
woman cook: dark skin tone,"chef, cook, dark skin tone, woman","[128105, 127999, 8205, 127859]"
man mechanic,"electrician, man, mechanic, plumber, tradesperson","[128104, 8205, 128295]"
man mechanic: light skin tone,"electrician, light skin tone, man, mechanic, plumber, tradesperson","[128104, 127995, 8205, 128295]"
man mechanic: medium-light skin tone,"electrician, man, mechanic, medium-light skin tone, plumber, tradesperson","[128104, 127996, 8205, 128295]"
man mechanic: medium skin tone,"electrician, man, mechanic, medium skin tone, plumber, tradesperson","[128104, 127997, 8205, 128295]"
man mechanic: medium-dark skin tone,"electrician, man, mechanic, medium-dark skin tone, plumber, tradesperson","[128104, 127998, 8205, 128295]"
man mechanic: dark skin tone,"dark skin tone, electrician, man, mechanic, plumber, tradesperson","[128104, 127999, 8205, 128295]"
woman mechanic,"electrician, mechanic, plumber, tradesperson, woman","[128105, 8205, 128295]"
woman mechanic: light skin tone,"electrician, light skin tone, mechanic, plumber, tradesperson, woman","[128105, 127995, 8205, 128295]"
woman mechanic: medium-light skin tone,"electrician, mechanic, medium-light skin tone, plumber, tradesperson, woman","[128105, 127996, 8205, 128295]"
woman mechanic: medium skin tone,"electrician, mechanic, medium skin tone, plumber, tradesperson, woman","[128105, 127997, 8205, 128295]"
woman mechanic: medium-dark skin tone,"electrician, mechanic, medium-dark skin tone, plumber, tradesperson, woman","[128105, 127998, 8205, 128295]"
woman mechanic: dark skin tone,"dark skin tone, electrician, mechanic, plumber, tradesperson, woman","[128105, 127999, 8205, 128295]"
man factory worker,"assembly, factory, industrial, man, worker","[128104, 8205, 127981]"
man factory worker: light skin tone,"assembly, factory, industrial, light skin tone, man, worker","[128104, 127995, 8205, 127981]"
man factory worker: medium-light skin tone,"assembly, factory, industrial, man, medium-light skin tone, worker","[128104, 127996, 8205, 127981]"
man factory worker: medium skin tone,"assembly, factory, industrial, man, medium skin tone, worker","[128104, 127997, 8205, 127981]"
man factory worker: medium-dark skin tone,"assembly, factory, industrial, man, medium-dark skin tone, worker","[128104, 127998, 8205, 127981]"
man factory worker: dark skin tone,"assembly, dark skin tone, factory, industrial, man, worker","[128104, 127999, 8205, 127981]"
woman factory worker,"assembly, factory, industrial, woman, worker","[128105, 8205, 127981]"
woman factory worker: light skin tone,"assembly, factory, industrial, light skin tone, woman, worker","[128105, 127995, 8205, 127981]"
woman factory worker: medium-light skin tone,"assembly, factory, industrial, medium-light skin tone, woman, worker","[128105, 127996, 8205, 127981]"
woman factory worker: medium skin tone,"assembly, factory, industrial, medium skin tone, woman, worker","[128105, 127997, 8205, 127981]"
woman factory worker: medium-dark skin tone,"assembly, factory, industrial, medium-dark skin tone, woman, worker","[128105, 127998, 8205, 127981]"
woman factory worker: dark skin tone,"assembly, dark skin tone, factory, industrial, woman, worker","[128105, 127999, 8205, 127981]"
man office worker,"architect, business, man, manager, office, white-collar","[128104, 8205, 128188]"
man office worker: light skin tone,"architect, business, light skin tone, man, manager, office, white-collar","[128104, 127995, 8205, 128188]"
man office worker: medium-light skin tone,"architect, business, man, manager, medium-light skin tone, office, white-collar","[128104, 127996, 8205, 128188]"
man office worker: medium skin tone,"architect, business, man, manager, medium skin tone, office, white-collar","[128104, 127997, 8205, 128188]"
man office worker: medium-dark skin tone,"architect, business, man, manager, medium-dark skin tone, office, white-collar","[128104, 127998, 8205, 128188]"
man office worker: dark skin tone,"architect, business, dark skin tone, man, manager, office, white-collar","[128104, 127999, 8205, 128188]"
woman office worker,"architect, business, manager, office, white-collar, woman","[128105, 8205, 128188]"
woman office worker: light skin tone,"architect, business, light skin tone, manager, office, white-collar, woman","[128105, 127995, 8205, 128188]"
woman office worker: medium-light skin tone,"architect, business, manager, medium-light skin tone, office, white-collar, woman","[128105, 127996, 8205, 128188]"
woman office worker: medium skin tone,"architect, business, manager, medium skin tone, office, white-collar, woman","[128105, 127997, 8205, 128188]"
woman office worker: medium-dark skin tone,"architect, business, manager, medium-dark skin tone, office, white-collar, woman","[128105, 127998, 8205, 128188]"
woman office worker: dark skin tone,"architect, business, dark skin tone, manager, office, white-collar, woman","[128105, 127999, 8205, 128188]"
man scientist,"biologist, chemist, engineer, man, mathematician, physicist, scientist","[128104, 8205, 128300]"
man scientist: light skin tone,"biologist, chemist, engineer, light skin tone, man, mathematician, physicist, scientist","[128104, 127995, 8205, 128300]"
man scientist: medium-light skin tone,"biologist, chemist, engineer, man, mathematician, medium-light skin tone, physicist, scientist","[128104, 127996, 8205, 128300]"
man scientist: medium skin tone,"biologist, chemist, engineer, man, mathematician, medium skin tone, physicist, scientist","[128104, 127997, 8205, 128300]"
man scientist: medium-dark skin tone,"biologist, chemist, engineer, man, mathematician, medium-dark skin tone, physicist, scientist","[128104, 127998, 8205, 128300]"
man scientist: dark skin tone,"biologist, chemist, dark skin tone, engineer, man, mathematician, physicist, scientist","[128104, 127999, 8205, 128300]"
woman scientist,"biologist, chemist, engineer, mathematician, physicist, scientist, woman","[128105, 8205, 128300]"
woman scientist: light skin tone,"biologist, chemist, engineer, light skin tone, mathematician, physicist, scientist, woman","[128105, 127995, 8205, 128300]"
woman scientist: medium-light skin tone,"biologist, chemist, engineer, mathematician, medium-light skin tone, physicist, scientist, woman","[128105, 127996, 8205, 128300]"
woman scientist: medium skin tone,"biologist, chemist, engineer, mathematician, medium skin tone, physicist, scientist, woman","[128105, 127997, 8205, 128300]"
woman scientist: medium-dark skin tone,"biologist, chemist, engineer, mathematician, medium-dark skin tone, physicist, scientist, woman","[128105, 127998, 8205, 128300]"
woman scientist: dark skin tone,"biologist, chemist, dark skin tone, engineer, mathematician, physicist, scientist, woman","[128105, 127999, 8205, 128300]"
man technologist,"coder, developer, inventor, man, software, technologist","[128104, 8205, 128187]"
man technologist: light skin tone,"coder, developer, inventor, light skin tone, man, software, technologist","[128104, 127995, 8205, 128187]"
man technologist: medium-light skin tone,"coder, developer, inventor, man, medium-light skin tone, software, technologist","[128104, 127996, 8205, 128187]"
man technologist: medium skin tone,"coder, developer, inventor, man, medium skin tone, software, technologist","[128104, 127997, 8205, 128187]"
man technologist: medium-dark skin tone,"coder, developer, inventor, man, medium-dark skin tone, software, technologist","[128104, 127998, 8205, 128187]"
man technologist: dark skin tone,"coder, dark skin tone, developer, inventor, man, software, technologist","[128104, 127999, 8205, 128187]"
woman technologist,"coder, developer, inventor, software, technologist, woman","[128105, 8205, 128187]"
woman technologist: light skin tone,"coder, developer, inventor, light skin tone, software, technologist, woman","[128105, 127995, 8205, 128187]"
woman technologist: medium-light skin tone,"coder, developer, inventor, medium-light skin tone, software, technologist, woman","[128105, 127996, 8205, 128187]"
woman technologist: medium skin tone,"coder, developer, inventor, medium skin tone, software, technologist, woman","[128105, 127997, 8205, 128187]"
woman technologist: medium-dark skin tone,"coder, developer, inventor, medium-dark skin tone, software, technologist, woman","[128105, 127998, 8205, 128187]"
woman technologist: dark skin tone,"coder, dark skin tone, developer, inventor, software, technologist, woman","[128105, 127999, 8205, 128187]"
man singer,"actor, entertainer, man, rock, singer, star","[128104, 8205, 127908]"
man singer: light skin tone,"actor, entertainer, light skin tone, man, rock, singer, star","[128104, 127995, 8205, 127908]"
man singer: medium-light skin tone,"actor, entertainer, man, medium-light skin tone, rock, singer, star","[128104, 127996, 8205, 127908]"
man singer: medium skin tone,"actor, entertainer, man, medium skin tone, rock, singer, star","[128104, 127997, 8205, 127908]"
man singer: medium-dark skin tone,"actor, entertainer, man, medium-dark skin tone, rock, singer, star","[128104, 127998, 8205, 127908]"
man singer: dark skin tone,"actor, dark skin tone, entertainer, man, rock, singer, star","[128104, 127999, 8205, 127908]"
woman singer,"actor, entertainer, rock, singer, star, woman","[128105, 8205, 127908]"
woman singer: light skin tone,"actor, entertainer, light skin tone, rock, singer, star, woman","[128105, 127995, 8205, 127908]"
woman singer: medium-light skin tone,"actor, entertainer, medium-light skin tone, rock, singer, star, woman","[128105, 127996, 8205, 127908]"
woman singer: medium skin tone,"actor, entertainer, medium skin tone, rock, singer, star, woman","[128105, 127997, 8205, 127908]"
woman singer: medium-dark skin tone,"actor, entertainer, medium-dark skin tone, rock, singer, star, woman","[128105, 127998, 8205, 127908]"
woman singer: dark skin tone,"actor, dark skin tone, entertainer, rock, singer, star, woman","[128105, 127999, 8205, 127908]"
man artist,"artist, man, palette","[128104, 8205, 127912]"
man artist: light skin tone,"artist, light skin tone, man, palette","[128104, 127995, 8205, 127912]"
man artist: medium-light skin tone,"artist, man, medium-light skin tone, palette","[128104, 127996, 8205, 127912]"
man artist: medium skin tone,"artist, man, medium skin tone, palette","[128104, 127997, 8205, 127912]"
man artist: medium-dark skin tone,"artist, man, medium-dark skin tone, palette","[128104, 127998, 8205, 127912]"
man artist: dark skin tone,"artist, dark skin tone, man, palette","[128104, 127999, 8205, 127912]"
woman artist,"artist, palette, woman","[128105, 8205, 127912]"
woman artist: light skin tone,"artist, light skin tone, palette, woman","[128105, 127995, 8205, 127912]"
woman artist: medium-light skin tone,"artist, medium-light skin tone, palette, woman","[128105, 127996, 8205, 127912]"
woman artist: medium skin tone,"artist, medium skin tone, palette, woman","[128105, 127997, 8205, 127912]"
woman artist: medium-dark skin tone,"artist, medium-dark skin tone, palette, woman","[128105, 127998, 8205, 127912]"
woman artist: dark skin tone,"artist, dark skin tone, palette, woman","[128105, 127999, 8205, 127912]"
man pilot,"man, pilot, plane","[128104, 8205, 9992, 65039]"
man pilot: light skin tone,"light skin tone, man, pilot, plane","[128104, 127995, 8205, 9992, 65039]"
man pilot: medium-light skin tone,"man, medium-light skin tone, pilot, plane","[128104, 127996, 8205, 9992, 65039]"
man pilot: medium skin tone,"man, medium skin tone, pilot, plane","[128104, 127997, 8205, 9992, 65039]"
man pilot: medium-dark skin tone,"man, medium-dark skin tone, pilot, plane","[128104, 127998, 8205, 9992, 65039]"
man pilot: dark skin tone,"dark skin tone, man, pilot, plane","[128104, 127999, 8205, 9992, 65039]"
woman pilot,"pilot, plane, woman","[128105, 8205, 9992, 65039]"
woman pilot: light skin tone,"light skin tone, pilot, plane, woman","[128105, 127995, 8205, 9992, 65039]"
woman pilot: medium-light skin tone,"medium-light skin tone, pilot, plane, woman","[128105, 127996, 8205, 9992, 65039]"
woman pilot: medium skin tone,"medium skin tone, pilot, plane, woman","[128105, 127997, 8205, 9992, 65039]"
woman pilot: medium-dark skin tone,"medium-dark skin tone, pilot, plane, woman","[128105, 127998, 8205, 9992, 65039]"
woman pilot: dark skin tone,"dark skin tone, pilot, plane, woman","[128105, 127999, 8205, 9992, 65039]"
man astronaut,"astronaut, man, rocket","[128104, 8205, 128640]"
man astronaut: light skin tone,"astronaut, light skin tone, man, rocket","[128104, 127995, 8205, 128640]"
man astronaut: medium-light skin tone,"astronaut, man, medium-light skin tone, rocket","[128104, 127996, 8205, 128640]"
man astronaut: medium skin tone,"astronaut, man, medium skin tone, rocket","[128104, 127997, 8205, 128640]"
man astronaut: medium-dark skin tone,"astronaut, man, medium-dark skin tone, rocket","[128104, 127998, 8205, 128640]"
man astronaut: dark skin tone,"astronaut, dark skin tone, man, rocket","[128104, 127999, 8205, 128640]"
woman astronaut,"astronaut, rocket, woman","[128105, 8205, 128640]"
woman astronaut: light skin tone,"astronaut, light skin tone, rocket, woman","[128105, 127995, 8205, 128640]"
woman astronaut: medium-light skin tone,"astronaut, medium-light skin tone, rocket, woman","[128105, 127996, 8205, 128640]"
woman astronaut: medium skin tone,"astronaut, medium skin tone, rocket, woman","[128105, 127997, 8205, 128640]"
woman astronaut: medium-dark skin tone,"astronaut, medium-dark skin tone, rocket, woman","[128105, 127998, 8205, 128640]"
woman astronaut: dark skin tone,"astronaut, dark skin tone, rocket, woman","[128105, 127999, 8205, 128640]"
man firefighter,"firefighter, firetruck, man","[128104, 8205, 128658]"
man firefighter: light skin tone,"firefighter, firetruck, light skin tone, man","[128104, 127995, 8205, 128658]"
man firefighter: medium-light skin tone,"firefighter, firetruck, man, medium-light skin tone","[128104, 127996, 8205, 128658]"
man firefighter: medium skin tone,"firefighter, firetruck, man, medium skin tone","[128104, 127997, 8205, 128658]"
man firefighter: medium-dark skin tone,"firefighter, firetruck, man, medium-dark skin tone","[128104, 127998, 8205, 128658]"
man firefighter: dark skin tone,"dark skin tone, firefighter, firetruck, man","[128104, 127999, 8205, 128658]"
woman firefighter,"firefighter, firetruck, woman","[128105, 8205, 128658]"
woman firefighter: light skin tone,"firefighter, firetruck, light skin tone, woman","[128105, 127995, 8205, 128658]"
